"Site_Name","Year","Common_Name","Road_Noise","Detection_Count"
"Adams Creek 03",2015,"Pileated Woodpecker",FALSE,1
"Adams Creek 03",2017,"Pileated Woodpecker",FALSE,1
"Adams Creek 03",2019,"Hairy Woodpecker",FALSE,1
"Adams Creek 03",2019,"Pileated Woodpecker",FALSE,3
"Adams Creek 03",2023,"Hairy Woodpecker",FALSE,2
"Adams Creek 03",2023,"Red-bellied Woodpecker",FALSE,1
"Adams Creek 03",2025,"Pileated Woodpecker",FALSE,1
"Adams Creek 14",2014,"Pileated Woodpecker",FALSE,1
"Adams Creek 14",2018,"Downy Woodpecker",FALSE,1
"Adams Creek 14",2022,"Downy Woodpecker",FALSE,3
"Adams Creek 14",2022,"Pileated Woodpecker",FALSE,2
"Adams Creek 14",2024,"Downy Woodpecker",FALSE,1
"Adams Creek 14",2024,"Pileated Woodpecker",FALSE,1
"Adams Creek 21",2015,"Pileated Woodpecker",FALSE,1
"Adams Creek 21",2019,"Hairy Woodpecker",FALSE,1
"Adams Creek 21",2023,"Downy Woodpecker",FALSE,2
"Adams Creek 21",2025,"Downy Woodpecker",FALSE,1
"Adams Creek 21",2025,"Red-bellied Woodpecker",FALSE,1
"Adams Creek 33",2014,"Pileated Woodpecker",TRUE,1
"Adams Creek 33",2016,"Downy Woodpecker",TRUE,2
"Adams Creek 33",2022,"Downy Woodpecker",FALSE,2
"Adams Creek 33",2022,"Downy Woodpecker",TRUE,3
"Adams Creek 33",2022,"Hairy Woodpecker",FALSE,1
"Adams Creek 33",2022,"Pileated Woodpecker",TRUE,1
"Adams Creek 33",2024,"Downy Woodpecker",TRUE,4
"Adams Creek 33",2024,"Hairy Woodpecker",TRUE,1
"Adams Creek 33",2024,"Red-bellied Woodpecker",FALSE,1
"Caledonia Creek 13",2014,"Hairy Woodpecker",FALSE,1
"Caledonia Creek 13",2014,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2014,"Red-bellied Woodpecker",FALSE,1
"Caledonia Creek 13",2016,"Downy Woodpecker",FALSE,2
"Caledonia Creek 13",2016,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2016,"Red-bellied Woodpecker",FALSE,1
"Caledonia Creek 13",2018,"Downy Woodpecker",FALSE,1
"Caledonia Creek 13",2018,"Red-bellied Woodpecker",FALSE,2
"Caledonia Creek 13",2022,"Hairy Woodpecker",FALSE,2
"Caledonia Creek 13",2022,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2022,"Red-bellied Woodpecker",FALSE,2
"Caledonia Creek 13",2024,"Downy Woodpecker",FALSE,4
"Caledonia Creek 13",2024,"Pileated Woodpecker",FALSE,1
"Caledonia Creek 13",2024,"Red-bellied Woodpecker",FALSE,1
"Deckers Creek 03",2016,"Downy Woodpecker",FALSE,5
"Deckers Creek 03",2016,"Hairy Woodpecker",FALSE,1
"Deckers Creek 03",2016,"Red-bellied Woodpecker",FALSE,2
"Deckers Creek 03",2018,"Hairy Woodpecker",FALSE,1
"Deckers Creek 03",2018,"Pileated Woodpecker",FALSE,1
"Deckers Creek 03",2018,"Red-bellied Woodpecker",FALSE,1
"Deckers Creek 03",2022,"Downy Woodpecker",FALSE,2
"Deckers Creek 03",2022,"Pileated Woodpecker",FALSE,1
"Deckers Creek 03",2022,"Red-bellied Woodpecker",FALSE,1
"Deckers Creek 03",2024,"Downy Woodpecker",FALSE,2
"Deckers Creek 03",2024,"Pileated Woodpecker",FALSE,4
"Deckers Creek 03",2024,"Red-bellied Woodpecker",FALSE,1
"Dingmans Creek 05",2014,"Red-bellied Woodpecker",TRUE,2
"Dingmans Creek 05",2016,"Downy Woodpecker",FALSE,4
"Dingmans Creek 05",2016,"Downy Woodpecker",TRUE,2
"Dingmans Creek 05",2016,"Pileated Woodpecker",TRUE,2
"Dingmans Creek 05",2018,"Downy Woodpecker",FALSE,2
"Dingmans Creek 05",2018,"Red-bellied Woodpecker",FALSE,1
"Dingmans Creek 05",2022,"Downy Woodpecker",FALSE,1
"Dingmans Creek 05",2022,"Pileated Woodpecker",FALSE,1
"Dingmans Creek 05",2022,"Red-bellied Woodpecker",FALSE,1
"Dingmans Creek 05",2022,"Red-bellied Woodpecker",TRUE,1
"Dingmans Creek 05",2024,"Downy Woodpecker",FALSE,4
"Dingmans Creek 05",2024,"Pileated Woodpecker",FALSE,1
"Dingmans Creek 05",2024,"Pileated Woodpecker",TRUE,2
"Dingmans Creek 05",2024,"Red-bellied Woodpecker",TRUE,1
"Dingmans Creek 30",2017,"Hairy Woodpecker",FALSE,1
"Dingmans Creek 30",2019,"Downy Woodpecker",FALSE,1
"Dingmans Creek 30",2023,"Downy Woodpecker",FALSE,1
"Dingmans Creek 30",2023,"Hairy Woodpecker",FALSE,1
"Dingmans Creek 30",2023,"Pileated Woodpecker",FALSE,2
"Dingmans Creek 30",2023,"Red-bellied Woodpecker",FALSE,2
"Dingmans Creek 30",2025,"Downy Woodpecker",FALSE,2
"Dingmans Creek 30",2025,"Hairy Woodpecker",FALSE,1
"Dingmans Creek 30",2025,"Red-bellied Woodpecker",FALSE,3
"Dingmans Creek 39",2014,"Downy Woodpecker",FALSE,2
"Dingmans Creek 39",2014,"Hairy Woodpecker",FALSE,2
"Dingmans Creek 39",2014,"Pileated Woodpecker",FALSE,1
"Dingmans Creek 39",2016,"Downy Woodpecker",FALSE,5
"Dingmans Creek 39",2016,"Hairy Woodpecker",FALSE,3
"Dingmans Creek 39",2016,"Red-bellied Woodpecker",FALSE,5
"Dingmans Creek 39",2018,"Downy Woodpecker",FALSE,2
"Dingmans Creek 39",2018,"Red-bellied Woodpecker",FALSE,1
"Dingmans Creek 39",2022,"Downy Woodpecker",FALSE,1
"Dingmans Creek 39",2024,"Downy Woodpecker",FALSE,3
"Dingmans Creek 39",2024,"Hairy Woodpecker",FALSE,3
"Dingmans Creek 57",2014,"Hairy Woodpecker",TRUE,1
"Dingmans Creek 57",2014,"Pileated Woodpecker",TRUE,1
"Dingmans Creek 57",2016,"Downy Woodpecker",TRUE,7
"Dingmans Creek 57",2016,"Hairy Woodpecker",TRUE,1
"Dingmans Creek 57",2016,"Pileated Woodpecker",TRUE,1
"Dingmans Creek 57",2022,"Downy Woodpecker",TRUE,2
"Dingmans Creek 57",2022,"Hairy Woodpecker",TRUE,1
"Dingmans Creek 57",2022,"Red-bellied Woodpecker",TRUE,1
"Dingmans Creek 57",2024,"Downy Woodpecker",FALSE,2
"Dingmans Creek 57",2024,"Downy Woodpecker",TRUE,5
"Dingmans Creek 57",2024,"Red-bellied Woodpecker",TRUE,1
"Dunnfield Creek 03",2014,"Red-bellied Woodpecker",TRUE,1
"Dunnfield Creek 03",2016,"Downy Woodpecker",TRUE,1
"Dunnfield Creek 03",2018,"Downy Woodpecker",TRUE,2
"Dunnfield Creek 03",2018,"Hairy Woodpecker",TRUE,1
"Dunnfield Creek 03",2022,"Downy Woodpecker",TRUE,1
"Dunnfield Creek 03",2022,"Pileated Woodpecker",TRUE,1
"Dunnfield Creek 03",2024,"Downy Woodpecker",TRUE,3
"Dunnfield Creek 03",2024,"Red-bellied Woodpecker",TRUE,2
"Dunnfield Creek 26",2015,"Hairy Woodpecker",FALSE,2
"Dunnfield Creek 26",2017,"Downy Woodpecker",FALSE,1
"Dunnfield Creek 26",2017,"Pileated Woodpecker",FALSE,2
"Dunnfield Creek 26",2017,"Red-bellied Woodpecker",FALSE,1
"Dunnfield Creek 26",2019,"Pileated Woodpecker",FALSE,1
"Dunnfield Creek 26",2023,"Hairy Woodpecker",FALSE,1
"Dunnfield Creek 26",2023,"Pileated Woodpecker",FALSE,2
"Dunnfield Creek 26",2023,"Red-bellied Woodpecker",FALSE,2
"Dunnfield Creek 26",2025,"Downy Woodpecker",FALSE,1
"Dunnfield Creek 26",2025,"Pileated Woodpecker",FALSE,2
"Dunnfield Creek 26",2025,"Red-bellied Woodpecker",FALSE,1
"Hornbecks Creek 15",2017,"Downy Woodpecker",FALSE,4
"Hornbecks Creek 15",2019,"Pileated Woodpecker",FALSE,1
"Hornbecks Creek 15",2023,"Downy Woodpecker",FALSE,1
"Hornbecks Creek 15",2023,"Pileated Woodpecker",FALSE,1
"Hornbecks Creek 15",2025,"Downy Woodpecker",FALSE,2
"Hornbecks Creek 15",2025,"Hairy Woodpecker",FALSE,1
"Hornbecks Creek 15",2025,"Pileated Woodpecker",FALSE,4
"Hornbecks Creek 15",2025,"Red-bellied Woodpecker",FALSE,1
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",FALSE,4
"Little Bushkill Creek 01",2014,"Pileated Woodpecker",TRUE,1
"Little Bushkill Creek 01",2014,"Red-bellied Woodpecker",FALSE,1
"Little Bushkill Creek 01",2016,"Downy Woodpecker",FALSE,2
"Little Bushkill Creek 01",2016,"Downy Woodpecker",TRUE,1
"Little Bushkill Creek 01",2016,"Red-bellied Woodpecker",FALSE,2
"Little Bushkill Creek 01",2016,"Red-bellied Woodpecker",TRUE,2
"Little Bushkill Creek 01",2018,"Downy Woodpecker",FALSE,3
"Little Bushkill Creek 01",2018,"Red-bellied Woodpecker",TRUE,1
"Little Bushkill Creek 01",2022,"Hairy Woodpecker",FALSE,1
"Little Bushkill Creek 01",2022,"Pileated Woodpecker",TRUE,1
"Little Bushkill Creek 01",2022,"Red-bellied Woodpecker",FALSE,3
"Little Bushkill Creek 01",2024,"Downy Woodpecker",FALSE,4
"Little Bushkill Creek 01",2024,"Downy Woodpecker",TRUE,2
"Little Bushkill Creek 01",2024,"Hairy Woodpecker",TRUE,1
"Little Bushkill Creek 01",2024,"Pileated Woodpecker",TRUE,1
"Little Bushkill Creek 01",2024,"Red-bellied Woodpecker",FALSE,3
"Little Bushkill Creek 01",2024,"Red-bellied Woodpecker",TRUE,3
"Mill Creek 12 (DEWA)",2017,"Pileated Woodpecker",FALSE,3
"Mill Creek 12 (DEWA)",2023,"Pileated Woodpecker",FALSE,1
"Mill Creek 12 (DEWA)",2023,"Red-bellied Woodpecker",FALSE,1
"Mill Creek 12 (DEWA)",2025,"Downy Woodpecker",FALSE,1
"Mill Creek 12 (DEWA)",2025,"Pileated Woodpecker",FALSE,1
"Mill Creek 25",2014,"Downy Woodpecker",FALSE,2
"Mill Creek 25",2014,"Red-bellied Woodpecker",FALSE,1
"Mill Creek 25",2016,"Downy Woodpecker",FALSE,2
"Mill Creek 25",2016,"Pileated Woodpecker",TRUE,1
"Mill Creek 25",2018,"Downy Woodpecker",FALSE,3
"Mill Creek 25",2018,"Red-bellied Woodpecker",FALSE,4
"Mill Creek 25",2022,"Hairy Woodpecker",TRUE,1
"Mill Creek 25",2024,"Downy Woodpecker",FALSE,3
"Mill Creek 25",2024,"Pileated Woodpecker",FALSE,4
"Mill Creek 25",2024,"Red-bellied Woodpecker",FALSE,1
"Raymondskill Creek 13",2017,"Downy Woodpecker",FALSE,1
"Raymondskill Creek 13",2019,"Pileated Woodpecker",FALSE,1
"Raymondskill Creek 13",2023,"Pileated Woodpecker",FALSE,1
"Sand Hill Creek 08",2015,"Hairy Woodpecker",TRUE,3
"Sand Hill Creek 08",2015,"Red-bellied Woodpecker",TRUE,2
"Sand Hill Creek 08",2017,"Downy Woodpecker",TRUE,3
"Sand Hill Creek 08",2017,"Pileated Woodpecker",TRUE,2
"Sand Hill Creek 08",2019,"Downy Woodpecker",TRUE,2
"Sand Hill Creek 08",2023,"Downy Woodpecker",TRUE,1
"Sand Hill Creek 08",2023,"Red-bellied Woodpecker",TRUE,2
"Sand Hill Creek 08",2025,"Downy Woodpecker",TRUE,3
"Spackmans Creek 08",2016,"Downy Woodpecker",FALSE,2
"Spackmans Creek 08",2016,"Red-bellied Woodpecker",FALSE,1
"Spackmans Creek 08",2018,"Downy Woodpecker",FALSE,3
"Spackmans Creek 08",2018,"Hairy Woodpecker",TRUE,1
"Spackmans Creek 08",2018,"Pileated Woodpecker",FALSE,1
"Spackmans Creek 08",2018,"Pileated Woodpecker",TRUE,1
"Spackmans Creek 08",2018,"Red-bellied Woodpecker",FALSE,2
"Spackmans Creek 08",2018,"Red-bellied Woodpecker",TRUE,1
"Spackmans Creek 08",2022,"Downy Woodpecker",TRUE,1
"Spackmans Creek 08",2022,"Hairy Woodpecker",FALSE,1
"Spackmans Creek 08",2022,"Red-bellied Woodpecker",FALSE,1
"Spackmans Creek 08",2022,"Red-bellied Woodpecker",TRUE,2
"Spackmans Creek 08",2024,"Downy Woodpecker",TRUE,1
"Spackmans Creek 08",2024,"Hairy Woodpecker",FALSE,2
"Spackmans Creek 08",2024,"Pileated Woodpecker",FALSE,1
"Spackmans Creek 08",2024,"Pileated Woodpecker",TRUE,1
"Spackmans Creek 08",2024,"Red-bellied Woodpecker",FALSE,1
"Toms Creek 03",2015,"Pileated Woodpecker",FALSE,1
"Toms Creek 03",2017,"Red-bellied Woodpecker",FALSE,1
"Toms Creek 03",2023,"Downy Woodpecker",FALSE,1
"Toms Creek 03",2025,"Downy Woodpecker",FALSE,3
"Toms Creek 03",2025,"Downy Woodpecker",TRUE,1
"Toms Creek 03",2025,"Red-bellied Woodpecker",FALSE,3
"Toms Creek 07",2016,"Downy Woodpecker",FALSE,1
"Toms Creek 07",2018,"Pileated Woodpecker",FALSE,3
"Toms Creek 07",2022,"Downy Woodpecker",FALSE,1
"Toms Creek 07",2022,"Downy Woodpecker",TRUE,1
"Toms Creek 07",2022,"Hairy Woodpecker",FALSE,1
"Toms Creek 07",2024,"Downy Woodpecker",FALSE,1
"Toms Creek 07",2024,"Pileated Woodpecker",FALSE,1
"Toms Creek 20",2016,"Downy Woodpecker",FALSE,1
"Toms Creek 20",2016,"Hairy Woodpecker",FALSE,3
"Toms Creek 20",2016,"Red-bellied Woodpecker",FALSE,1
"Toms Creek 20",2018,"Downy Woodpecker",FALSE,1
"Toms Creek 20",2018,"Red-bellied Woodpecker",FALSE,1
"Toms Creek 20",2022,"Pileated Woodpecker",FALSE,6
"Toms Creek 20",2022,"Red-bellied Woodpecker",FALSE,1
"Toms Creek 20",2024,"Hairy Woodpecker",FALSE,3
"Toms Creek 20",2024,"Pileated Woodpecker",FALSE,1
"Toms Creek 25",2015,"Downy Woodpecker",FALSE,2
"Toms Creek 25",2017,"Downy Woodpecker",FALSE,2
"Toms Creek 25",2017,"Red-bellied Woodpecker",FALSE,1
"Toms Creek 25",2019,"Hairy Woodpecker",FALSE,1
"Toms Creek 25",2023,"Downy Woodpecker",FALSE,1
"Toms Creek 25",2023,"Hairy Woodpecker",FALSE,3
"Toms Creek 25",2023,"Pileated Woodpecker",FALSE,2
"Toms Creek 25",2023,"Red-bellied Woodpecker",FALSE,2
"Toms Creek 25",2025,"Downy Woodpecker",FALSE,4
"Toms Creek 25",2025,"Hairy Woodpecker",FALSE,5
"Toms Creek 25",2025,"Pileated Woodpecker",FALSE,3
"Toms Creek 25",2025,"Red-bellied Woodpecker",FALSE,2
"UNT Dingmans Creek 07",2015,"Downy Woodpecker",TRUE,1
"UNT Dingmans Creek 07",2015,"Hairy Woodpecker",TRUE,2
"UNT Dingmans Creek 07",2015,"Pileated Woodpecker",TRUE,1
"UNT Dingmans Creek 07",2017,"Downy Woodpecker",TRUE,2
"UNT Dingmans Creek 07",2017,"Red-bellied Woodpecker",FALSE,1
"UNT Dingmans Creek 07",2019,"Hairy Woodpecker",TRUE,1
"UNT Dingmans Creek 07",2019,"Pileated Woodpecker",FALSE,1
"UNT Dingmans Creek 07",2023,"Downy Woodpecker",TRUE,5
"UNT Dingmans Creek 07",2023,"Hairy Woodpecker",TRUE,1
"UNT Dingmans Creek 07",2023,"Pileated Woodpecker",TRUE,2
"UNT Dingmans Creek 07",2023,"Red-bellied Woodpecker",TRUE,3
"UNT Dingmans Creek 07",2025,"Downy Woodpecker",TRUE,1
"UNT Dingmans Creek 07",2025,"Hairy Woodpecker",TRUE,2
"UNT Dingmans Creek 07",2025,"Pileated Woodpecker",TRUE,1
"UNT Dingmans Creek 07",2025,"Red-bellied Woodpecker",TRUE,4
"UNT Vancampens Brook 05",2015,"Hairy Woodpecker",FALSE,2
"UNT Vancampens Brook 05",2015,"Red-bellied Woodpecker",FALSE,2
"UNT Vancampens Brook 05",2017,"Downy Woodpecker",FALSE,2
"UNT Vancampens Brook 05",2019,"Hairy Woodpecker",FALSE,2
"UNT Vancampens Brook 05",2025,"Hairy Woodpecker",FALSE,1
"UNT Vancampens Brook 05",2025,"Pileated Woodpecker",FALSE,1
"UNT Vancampens Brook 05",2025,"Red-bellied Woodpecker",FALSE,2
"Van Campen Creek 12",2014,"Red-bellied Woodpecker",FALSE,1
"Van Campen Creek 12",2016,"Downy Woodpecker",TRUE,1
"Van Campen Creek 12",2016,"Pileated Woodpecker",TRUE,1
"Van Campen Creek 12",2018,"Downy Woodpecker",FALSE,3
"Van Campen Creek 12",2022,"Downy Woodpecker",TRUE,1
"Van Campen Creek 12",2022,"Pileated Woodpecker",FALSE,1
"Van Campen Creek 12",2022,"Red-bellied Woodpecker",TRUE,1
"Van Campen Creek 12",2024,"Downy Woodpecker",TRUE,2
"Van Campen Creek 12",2024,"Hairy Woodpecker",TRUE,1
"Vancampens Brook 22",2017,"Downy Woodpecker",FALSE,1
"Vancampens Brook 22",2017,"Red-bellied Woodpecker",FALSE,1
"Vancampens Brook 22",2019,"Pileated Woodpecker",FALSE,1
"Vancampens Brook 22",2023,"Red-bellied Woodpecker",FALSE,1
"Vancampens Brook 22",2025,"Red-bellied Woodpecker",FALSE,2
"Vancampens Brook 43",2014,"Downy Woodpecker",FALSE,1
"Vancampens Brook 43",2014,"Pileated Woodpecker",FALSE,1
"Vancampens Brook 43",2014,"Red-bellied Woodpecker",FALSE,1
"Vancampens Brook 43",2016,"Downy Woodpecker",FALSE,5
"Vancampens Brook 43",2016,"Downy Woodpecker",TRUE,1
"Vancampens Brook 43",2016,"Pileated Woodpecker",FALSE,1
"Vancampens Brook 43",2016,"Red-bellied Woodpecker",FALSE,3
"Vancampens Brook 43",2018,"Downy Woodpecker",FALSE,1
"Vancampens Brook 43",2018,"Pileated Woodpecker",FALSE,4
"Vancampens Brook 43",2022,"Downy Woodpecker",FALSE,2
"Vancampens Brook 43",2022,"Red-bellied Woodpecker",FALSE,3
"Vancampens Brook 43",2024,"Downy Woodpecker",FALSE,1
"Vancampens Brook 43",2024,"Hairy Woodpecker",FALSE,1
"Vancampens Brook 43",2024,"Red-bellied Woodpecker",FALSE,4
"Vancampens Brook 43",2024,"Red-bellied Woodpecker",TRUE,1
"Vancampens Brook 76",2015,"Downy Woodpecker",FALSE,1
"Vancampens Brook 76",2015,"Hairy Woodpecker",FALSE,2
"Vancampens Brook 76",2017,"Hairy Woodpecker",FALSE,2
"Vancampens Brook 76",2017,"Pileated Woodpecker",FALSE,1
"Vancampens Brook 76",2017,"Red-bellied Woodpecker",FALSE,1
"Vancampens Brook 76",2019,"Hairy Woodpecker",FALSE,1
"Vancampens Brook 76",2019,"Pileated Woodpecker",FALSE,2
"Vancampens Brook 76",2023,"Downy Woodpecker",FALSE,2
"Vancampens Brook 76",2023,"Hairy Woodpecker",FALSE,2
"Vancampens Brook 76",2023,"Pileated Woodpecker",FALSE,3
"Vancampens Brook 76",2023,"Red-bellied Woodpecker",FALSE,1
"Vancampens Brook 76",2025,"Downy Woodpecker",FALSE,1
"Vancampens Brook 76",2025,"Red-bellied Woodpecker",FALSE,1
"Vancampens Brook 95",2014,"Downy Woodpecker",FALSE,2
"Vancampens Brook 95",2016,"Downy Woodpecker",FALSE,1
"Vancampens Brook 95",2016,"Pileated Woodpecker",FALSE,3
"Vancampens Brook 95",2016,"Red-bellied Woodpecker",FALSE,6
"Vancampens Brook 95",2018,"Pileated Woodpecker",FALSE,1
"Vancampens Brook 95",2022,"Downy Woodpecker",FALSE,1
"Vancampens Brook 95",2024,"Downy Woodpecker",FALSE,3
"Vancampens Brook 95",2024,"Hairy Woodpecker",FALSE,1
"Vancampens Brook 95",2024,"Pileated Woodpecker",FALSE,2
"Vancampens Brook 95",2024,"Red-bellied Woodpecker",FALSE,1
"White Brook 15",2015,"Downy Woodpecker",TRUE,2
"White Brook 15",2015,"Pileated Woodpecker",TRUE,1
"White Brook 15",2015,"Red-bellied Woodpecker",TRUE,1
"White Brook 15",2017,"Downy Woodpecker",FALSE,2
"White Brook 15",2017,"Downy Woodpecker",TRUE,2
"White Brook 15",2017,"Hairy Woodpecker",TRUE,1
"White Brook 15",2017,"Red-bellied Woodpecker",FALSE,2
"White Brook 15",2017,"Red-bellied Woodpecker",TRUE,2
"White Brook 15",2019,"Downy Woodpecker",FALSE,1
"White Brook 15",2019,"Pileated Woodpecker",FALSE,2
"White Brook 15",2019,"Pileated Woodpecker",TRUE,1
"White Brook 15",2023,"Downy Woodpecker",TRUE,10
"White Brook 15",2023,"Hairy Woodpecker",TRUE,1
"White Brook 15",2023,"Red-bellied Woodpecker",TRUE,4
"White Brook 15",2025,"Downy Woodpecker",TRUE,3
"White Brook 15",2025,"Pileated Woodpecker",TRUE,2
"White Brook 15",2025,"Red-bellied Woodpecker",TRUE,2
"Yards Creek 07",2015,"Downy Woodpecker",FALSE,3
"Yards Creek 07",2023,"Downy Woodpecker",FALSE,1
"Yards Creek 07",2023,"Red-bellied Woodpecker",FALSE,2
"Yards Creek 07",2025,"Hairy Woodpecker",FALSE,1
