"National_Park","Site_Name","Year","Ambient_Noise","Road_Noise","Common_Name","Hemlock_Condition_Score","Latitude","Longitude"
"DEWA","Caledonia Creek 13",2014,45.75,FALSE,"Hairy Woodpecker",2,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2014,51.25,FALSE,"Pileated Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2016,42,FALSE,"Pileated Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2022,50.25,FALSE,"Red-bellied Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2022,52,FALSE,"Pileated Woodpecker",3,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2024,44.75,FALSE,"Pileated Woodpecker",4,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2024,44.75,FALSE,"Downy Woodpecker",4,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2024,45,FALSE,"Downy Woodpecker",4,40.973186,-75.143983
"DEWA","Caledonia Creek 13",2018,43,FALSE,"Downy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2022,45.5,FALSE,"Hairy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2022,44,FALSE,"Red-bellied Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2024,38.75,FALSE,"Downy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2024,38.75,FALSE,"Downy Woodpecker",3,40.971255,-75.144299
"DEWA","Caledonia Creek 13",2014,41.5,FALSE,"Red-bellied Woodpecker",2,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2016,38.5,FALSE,"Downy Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2016,43,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2016,43,FALSE,"Downy Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2018,42.5,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2018,42.5,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2022,40,FALSE,"Hairy Woodpecker",3,40.96957,-75.144464
"DEWA","Caledonia Creek 13",2024,37.5,FALSE,"Red-bellied Woodpecker",3,40.96957,-75.144464
"DEWA","Van Campen Creek 12",2014,40.25,FALSE,"Red-bellied Woodpecker",1,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2016,39,TRUE,"Pileated Woodpecker",2,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2018,35,FALSE,"Downy Woodpecker",2,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2022,39.75,FALSE,"Pileated Woodpecker",2,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2024,41.75,TRUE,"Downy Woodpecker",3,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2024,41.75,TRUE,"Hairy Woodpecker",3,41.112214,-74.98555
"DEWA","Van Campen Creek 12",2018,35,FALSE,"Downy Woodpecker",2,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2022,40.25,TRUE,"Red-bellied Woodpecker",2,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2022,40.25,TRUE,"Downy Woodpecker",2,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2024,38.75,TRUE,"Downy Woodpecker",3,41.113797,-74.984332
"DEWA","Van Campen Creek 12",2016,37.5,TRUE,"Downy Woodpecker",3,41.115329,-74.983297
"DEWA","Van Campen Creek 12",2018,38,FALSE,"Downy Woodpecker",3,41.115329,-74.983297
"DEWA","Deckers Creek 03",2016,42.25,FALSE,"Downy Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2016,42,FALSE,"Downy Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,41.25,FALSE,"Pileated Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,41.25,FALSE,"Red-bellied Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,39,FALSE,"Downy Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2024,39,FALSE,"Pileated Woodpecker",3,41.19607,-74.901588
"DEWA","Deckers Creek 03",2016,32,FALSE,"Hairy Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,41,FALSE,"Downy Woodpecker",2,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,41,FALSE,"Red-bellied Woodpecker",2,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,41,FALSE,"Red-bellied Woodpecker",2,41.197587,-74.903088
"DEWA","Deckers Creek 03",2018,34.5,FALSE,"Hairy Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2018,35,FALSE,"Pileated Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2018,35,FALSE,"Red-bellied Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2022,47.75,FALSE,"Downy Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2022,47.75,FALSE,"Red-bellied Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2024,35,FALSE,"Pileated Woodpecker",3,41.197587,-74.903088
"DEWA","Deckers Creek 03",2016,36,FALSE,"Downy Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2016,41,FALSE,"Downy Woodpecker",2,41.199207,-74.902803
"DEWA","Deckers Creek 03",2022,38.25,FALSE,"Pileated Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2022,38,FALSE,"Downy Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2024,35,FALSE,"Pileated Woodpecker",3,41.199207,-74.902803
"DEWA","Deckers Creek 03",2024,35,FALSE,"Downy Woodpecker",3,41.199207,-74.902803
"DEWA","Dingmans Creek 05",2014,45.5,TRUE,"Red-bellied Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2014,47,TRUE,"Red-bellied Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2016,43.5,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2016,44.5,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2024,42,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2024,42,TRUE,"Pileated Woodpecker",0,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2024,45.25,TRUE,"Red-bellied Woodpecker",3,41.221193,-74.872862
"DEWA","Dingmans Creek 05",2016,36.25,TRUE,"Downy Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2016,35.75,TRUE,"Downy Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2016,45,FALSE,"Downy Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2016,45,FALSE,"Downy Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2016,45,FALSE,"Downy Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2018,45.75,FALSE,"Red-bellied Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2022,44.75,FALSE,"Red-bellied Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2022,44.25,FALSE,"Pileated Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2022,40.75,TRUE,"Red-bellied Woodpecker",3,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2024,41.5,FALSE,"Downy Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2024,41.75,FALSE,"Pileated Woodpecker",0,41.222164,-74.874508
"DEWA","Dingmans Creek 05",2016,41.25,FALSE,"Downy Woodpecker",2,41.222358,-74.87709
"DEWA","Dingmans Creek 05",2018,48,FALSE,"Downy Woodpecker",2,41.222358,-74.87709
"DEWA","Dingmans Creek 05",2018,48,FALSE,"Downy Woodpecker",2,41.222358,-74.87709
"DEWA","Dingmans Creek 05",2022,49.75,FALSE,"Downy Woodpecker",1,41.222358,-74.87709
"DEWA","Dingmans Creek 05",2024,41,FALSE,"Downy Woodpecker",3,41.222358,-74.87709
"DEWA","Dingmans Creek 05",2024,42,FALSE,"Downy Woodpecker",3,41.222358,-74.87709
"DEWA","Dingmans Creek 05",2024,45.75,FALSE,"Downy Woodpecker",3,41.222358,-74.87709
"DEWA","Dunnfield Creek 03",2014,59.75,TRUE,"Red-bellied Woodpecker",3,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2018,55.5,TRUE,"Downy Woodpecker",0,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2018,59.25,TRUE,"Downy Woodpecker",0,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2022,52,TRUE,"Downy Woodpecker",0,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2024,55.25,TRUE,"Red-bellied Woodpecker",3,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2024,55.5,TRUE,"Downy Woodpecker",3,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2024,55.5,TRUE,"Red-bellied Woodpecker",3,40.972203,-75.12619
"DEWA","Dunnfield Creek 03",2016,50.25,TRUE,"Downy Woodpecker",4,40.974039,-75.12677
"DEWA","Dunnfield Creek 03",2018,52.25,TRUE,"Hairy Woodpecker",3,40.974039,-75.12677
"DEWA","Dunnfield Creek 03",2022,62,TRUE,"Pileated Woodpecker",3,40.974039,-75.12677
"DEWA","Dunnfield Creek 03",2024,53,TRUE,"Downy Woodpecker",3,40.974039,-75.12677
"DEWA","Dunnfield Creek 03",2024,52.75,TRUE,"Downy Woodpecker",3,40.974039,-75.12677
"DEWA","Toms Creek 20",2018,39.75,FALSE,"Red-bellied Woodpecker",3,41.136262,-74.964469
"DEWA","Toms Creek 20",2024,41.75,FALSE,"Hairy Woodpecker",3,41.136262,-74.964469
"DEWA","Toms Creek 20",2016,40,FALSE,"Hairy Woodpecker",2,41.137481,-74.96254
"DEWA","Toms Creek 20",2022,44.25,FALSE,"Pileated Woodpecker",3,41.137481,-74.96254
"DEWA","Toms Creek 20",2022,44.25,FALSE,"Pileated Woodpecker",3,41.137481,-74.96254
"DEWA","Toms Creek 20",2022,44.25,FALSE,"Pileated Woodpecker",3,41.137481,-74.96254
"DEWA","Toms Creek 20",2024,41.75,FALSE,"Hairy Woodpecker",3,41.137481,-74.96254
"DEWA","Toms Creek 20",2016,38.5,FALSE,"Hairy Woodpecker",3,41.139114,-74.962737
"DEWA","Toms Creek 20",2016,39,FALSE,"Red-bellied Woodpecker",3,41.139114,-74.962737
"DEWA","Toms Creek 20",2016,39,FALSE,"Hairy Woodpecker",3,41.139114,-74.962737
"DEWA","Toms Creek 20",2016,38,FALSE,"Downy Woodpecker",4,41.139114,-74.962737
"DEWA","Toms Creek 20",2018,42,FALSE,"Downy Woodpecker",3,41.139114,-74.962737
"DEWA","Toms Creek 20",2022,52.25,FALSE,"Pileated Woodpecker",3,41.139114,-74.962737
"DEWA","Toms Creek 20",2022,44.5,FALSE,"Pileated Woodpecker",4,41.139114,-74.962737
"DEWA","Toms Creek 20",2022,44.5,FALSE,"Red-bellied Woodpecker",4,41.139114,-74.962737
"DEWA","Toms Creek 20",2022,44.5,FALSE,"Pileated Woodpecker",4,41.139114,-74.962737
"DEWA","Toms Creek 20",2024,46,FALSE,"Pileated Woodpecker",3,41.139114,-74.962737
"DEWA","Toms Creek 20",2024,46,FALSE,"Hairy Woodpecker",3,41.139114,-74.962737
"DEWA","Spackmans Creek 08",2018,40.25,TRUE,"Hairy Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2018,40.25,TRUE,"Red-bellied Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2018,40.5,TRUE,"Pileated Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2018,35,FALSE,"Red-bellied Woodpecker",2,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2022,47.5,TRUE,"Downy Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2022,47.5,TRUE,"Red-bellied Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2022,40.75,TRUE,"Red-bellied Woodpecker",4,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2024,37.5,TRUE,"Pileated Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2024,36.5,TRUE,"Downy Woodpecker",3,41.172493,-74.903056
"DEWA","Spackmans Creek 08",2016,36.5,FALSE,"Downy Woodpecker",3,41.173089,-74.904751
"DEWA","Spackmans Creek 08",2016,36.5,FALSE,"Red-bellied Woodpecker",3,41.173089,-74.904751
"DEWA","Spackmans Creek 08",2016,36.5,FALSE,"Downy Woodpecker",3,41.173089,-74.904751
"DEWA","Spackmans Creek 08",2018,34,FALSE,"Red-bellied Woodpecker",3,41.173089,-74.904751
"DEWA","Spackmans Creek 08",2022,38,FALSE,"Hairy Woodpecker",4,41.173089,-74.904751
"DEWA","Spackmans Creek 08",2024,34.25,FALSE,"Pileated Woodpecker",3,41.173089,-74.904751
"DEWA","Spackmans Creek 08",2018,39.75,FALSE,"Downy Woodpecker",3,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2018,34.25,FALSE,"Downy Woodpecker",3,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2018,34.5,FALSE,"Downy Woodpecker",3,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2018,34.5,FALSE,"Pileated Woodpecker",3,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2022,36,FALSE,"Red-bellied Woodpecker",4,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2024,40,FALSE,"Hairy Woodpecker",3,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2024,39.75,FALSE,"Hairy Woodpecker",3,41.175344,-74.906082
"DEWA","Spackmans Creek 08",2024,36.5,FALSE,"Red-bellied Woodpecker",3,41.175344,-74.906082
"DEWA","Dingmans Creek 57",2014,60,TRUE,"Hairy Woodpecker",1,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2016,54.25,TRUE,"Downy Woodpecker",3,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2016,54.5,TRUE,"Downy Woodpecker",3,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2022,57.25,TRUE,"Downy Woodpecker",1,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2024,57.25,FALSE,"Downy Woodpecker",3,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2024,57.25,FALSE,"Downy Woodpecker",3,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2024,55.25,TRUE,"Downy Woodpecker",3,41.237803,-74.915915
"DEWA","Dingmans Creek 57",2014,51.75,TRUE,"Pileated Woodpecker",1,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2016,45,TRUE,"Downy Woodpecker",2,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2016,45,TRUE,"Downy Woodpecker",2,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2016,44.5,TRUE,"Pileated Woodpecker",2,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2022,54.75,TRUE,"Red-bellied Woodpecker",2,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2022,46,TRUE,"Hairy Woodpecker",1,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2022,45.5,TRUE,"Downy Woodpecker",1,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2024,44.25,TRUE,"Downy Woodpecker",3,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2024,47,TRUE,"Downy Woodpecker",3,41.23776,-74.918289
"DEWA","Dingmans Creek 57",2016,46.75,TRUE,"Hairy Woodpecker",3,41.23893,-74.920173
"DEWA","Dingmans Creek 57",2016,43.5,TRUE,"Downy Woodpecker",3,41.23893,-74.920173
"DEWA","Dingmans Creek 57",2016,43.75,TRUE,"Downy Woodpecker",2,41.23893,-74.920173
"DEWA","Dingmans Creek 57",2016,43.75,TRUE,"Downy Woodpecker",2,41.23893,-74.920173
"DEWA","Dingmans Creek 57",2024,47.25,TRUE,"Red-bellied Woodpecker",3,41.23893,-74.920173
"DEWA","Dingmans Creek 57",2024,44,TRUE,"Downy Woodpecker",3,41.23893,-74.920173
"DEWA","Dingmans Creek 57",2024,44,TRUE,"Downy Woodpecker",3,41.23893,-74.920173
"DEWA","Vancampens Brook 95",2014,46.25,FALSE,"Downy Woodpecker",1,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2014,46.5,FALSE,"Downy Woodpecker",1,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2016,36,FALSE,"Pileated Woodpecker",0,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2016,36,FALSE,"Pileated Woodpecker",0,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2016,31,FALSE,"Pileated Woodpecker",1,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2016,31,FALSE,"Red-bellied Woodpecker",1,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2018,39.75,FALSE,"Pileated Woodpecker",0,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2022,37,FALSE,"Downy Woodpecker",1,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2024,36.75,FALSE,"Red-bellied Woodpecker",2,41.095516,-74.925565
"DEWA","Vancampens Brook 95",2016,37,FALSE,"Red-bellied Woodpecker",0,41.096639,-74.923572
"DEWA","Vancampens Brook 95",2016,37,FALSE,"Red-bellied Woodpecker",0,41.096639,-74.923572
"DEWA","Vancampens Brook 95",2024,42.75,FALSE,"Pileated Woodpecker",1,41.096639,-74.923572
"DEWA","Vancampens Brook 95",2024,42.75,FALSE,"Downy Woodpecker",1,41.096639,-74.923572
"DEWA","Vancampens Brook 95",2024,42.75,FALSE,"Downy Woodpecker",1,41.096639,-74.923572
"DEWA","Vancampens Brook 95",2024,37,FALSE,"Hairy Woodpecker",0,41.096639,-74.923572
"DEWA","Vancampens Brook 95",2016,36,FALSE,"Downy Woodpecker",2,41.097621,-74.921539
"DEWA","Vancampens Brook 95",2016,31,FALSE,"Red-bellied Woodpecker",1,41.097621,-74.921539
"DEWA","Vancampens Brook 95",2016,31,FALSE,"Red-bellied Woodpecker",1,41.097621,-74.921539
"DEWA","Vancampens Brook 95",2016,31,FALSE,"Red-bellied Woodpecker",1,41.097621,-74.921539
"DEWA","Vancampens Brook 95",2024,35.5,FALSE,"Pileated Woodpecker",1,41.097621,-74.921539
"DEWA","Vancampens Brook 95",2024,35,FALSE,"Downy Woodpecker",2,41.097621,-74.921539
"DEWA","Adams Creek 14",2014,41.5,FALSE,"Pileated Woodpecker",1,41.247096,-74.875643
"DEWA","Adams Creek 14",2022,42.25,FALSE,"Downy Woodpecker",3,41.247096,-74.875643
"DEWA","Adams Creek 14",2022,39.5,FALSE,"Pileated Woodpecker",4,41.247096,-74.875643
"DEWA","Adams Creek 14",2022,40,FALSE,"Pileated Woodpecker",4,41.247096,-74.875643
"DEWA","Adams Creek 14",2024,39.5,FALSE,"Downy Woodpecker",3,41.247096,-74.875643
"DEWA","Adams Creek 14",2018,43.5,FALSE,"Downy Woodpecker",3,41.248858,-74.876783
"DEWA","Adams Creek 14",2022,40.75,FALSE,"Downy Woodpecker",4,41.248858,-74.876783
"DEWA","Adams Creek 14",2022,42,FALSE,"Downy Woodpecker",4,41.248858,-74.876783
"DEWA","Adams Creek 14",2024,45.5,FALSE,"Pileated Woodpecker",3,41.248858,-74.876783
"DEWA","Adams Creek 33",2022,57.5,FALSE,"Hairy Woodpecker",4,41.256252,-74.889178
"DEWA","Adams Creek 33",2022,57.5,FALSE,"Downy Woodpecker",4,41.256252,-74.889178
